tipo_entidad,fecha_corte,renglon,desc_renglon,saldo_a_la_fecha,riesgo_a_c,riesgo_b_c,riesgo_c_c,riesgo_d_c,riesgo_e_c,venc1_6,venc6_12,venc+12,year_month
COMPAÑIAS DE FINANCIAMIENTO,2015-06-30,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,38.835018,64,0,0,0,0,0.0,0.0,0.0,2015-06-01
ESTABLECIMIENTOS BANCARIOS,2022-11-30,5,CORPORATIVO,142578.06787,20,0,1,1,0,0.0,8724.99988,0.0,2022-11-01
ESTABLECIMIENTOS BANCARIOS,2022-01-31,5,LIBRANZA TOTAL,4137.23806,655,19,18,40,16,423.415885,117.428999,0.0,2022-01-01
COMPAÑIAS DE FINANCIAMIENTO,2018-12-31,5,CORPORATIVO,21789.485709,18,1,1,2,3,572.249992,0.0,851.853771,2018-12-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2018-07-31,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,178.406153,1,0,0,0,0,0.0,0.0,0.0,2018-07-01
ESTABLECIMIENTOS BANCARIOS,2017-08-31,5,LIBRANZA TOTAL,2765813.94696,183510,4399,3239,4755,5015,66244.338687,12094.091861,0.0,2017-08-01
INSTITUCIONES OFICIALES ESPECIALES,2020-11-30,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,144.25966,7,0,0,0,1,0.0,0.0,0.0,2020-11-01
ESTABLECIMIENTOS BANCARIOS,2021-10-31,15,LEASING FINANCIERO VEHÍCULOS,838662.902569,3565,252,140,307,73,29151.929544,15062.798137,15431.15098,2021-10-01
ESTABLECIMIENTOS BANCARIOS,2015-01-31,5,EMPRESARIAL,1353679.806602,1025,39,7,22,9,8410.996636,8120.804392,3991.349466,2015-01-01
ESTABLECIMIENTOS BANCARIOS,2023-05-31,5,CRÉDITO ROTATIVO TOTAL,141603.75286663,45669,2043,1806,1488,2139,9111.86583332,60.16520031,0.0,2023-05-01
ESTABLECIMIENTOS BANCARIOS,2015-04-30,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,3391.891876,360,3,0,0,1,69.722487,0.0,0.0,2015-04-01
ESTABLECIMIENTOS BANCARIOS,2018-05-31,25,LEASING FINANCIERO OTROS,99641.381999,203,20,11,9,8,1115.078352,202.438849,2586.782758,2018-05-01
COMPAÑIAS DE FINANCIAMIENTO,2016-11-30,5,PYMES,21558.450586,444,29,2,11,0,484.498691,0.0,0.0,2016-11-01
ESTABLECIMIENTOS BANCARIOS,2017-09-30,5,VEHÍCULO,1940582.311942,69675,2223,3165,3514,1240,129087.622303,35587.72338,0.0,2017-09-01
ESTABLECIMIENTOS BANCARIOS,2017-07-31,10,LIBRANZA EDUCATIVO,901.400955,49,1,0,1,2,5.293332,0.0,0.0,2017-07-01
ESTABLECIMIENTOS BANCARIOS,2020-03-31,15,LIBRANZA OTROS,3433054.982196,150677,2100,1990,1967,6016,45949.346652,9194.247743,0.0,2020-03-01
ESTABLECIMIENTOS BANCARIOS,2020-12-31,5,LIBRE INVERSIÓN,11147.55892,174,10,32,35,1,528.976463,0.0,0.0,2020-12-01
ESTABLECIMIENTOS BANCARIOS,2017-12-31,10,FINANCIACIÓN DE PROYECTOS VIALES DE 4G,14255.742222,1,0,0,0,0,0.0,0.0,0.0,2017-12-01
ESTABLECIMIENTOS BANCARIOS,2021-05-31,15,CONSTRUCCIÓN DE PROYECTOS DE VIVIENDA,1439621.98938,40,6,7,4,1,70718.396427,0.0,18973.309815,2021-05-01
ESTABLECIMIENTOS BANCARIOS,2020-12-31,5,PYMES,1823785.469714,4451,1830,1820,143,1975,13352.345743,27161.927024,160720.960563,2020-12-01
ESTABLECIMIENTOS BANCARIOS,2015-10-31,5,OFICIAL O GOBIERNO,34.931585,6,1,0,0,0,0.000212,0.0,0.0,2015-10-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2021-10-31,5,LIBRE INVERSIÓN,143246.005721,22560,559,370,965,1083,5808.515387,3493.506973,0.0,2021-10-01
ESTABLECIMIENTOS BANCARIOS,2016-01-31,5,NO VIS PESOS TOTAL,325762.38286,2293,5,0,11,0,3033.098471,358.583162,0.0,2016-01-01
ESTABLECIMIENTOS BANCARIOS,2015-05-31,15,LIBRANZA OTROS,6326.354724,724,11,6,5,6,87.043901,46.281132,0.0,2015-05-01
ESTABLECIMIENTOS BANCARIOS,2018-08-31,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,304955.075379,4157,27,8,6,10,1219.946877,242.615371,790.954587,2018-08-01
ESTABLECIMIENTOS BANCARIOS,2019-03-31,5,OFICIAL O GOBIERNO,224.94559,1,0,0,0,0,0.0,0.0,0.0,2019-03-01
INSTITUCIONES OFICIALES ESPECIALES,2017-06-30,15,CONSTRUCCIÓN DE PROYECTOS DE VIVIENDA,126705.036427,25,2,1,0,0,3131.908961,0.0,0.0,2017-06-01
ESTABLECIMIENTOS BANCARIOS,2019-09-30,5,VIS PESOS TOTAL,1551015.821562,46232,1514,636,186,532,88148.805933,11581.982985,17384.472933,2019-09-01
INSTITUCIONES OFICIALES ESPECIALES,2023-05-31,5,CRÉDITO EMPLEADOS VIVIENDA VIS,10072.25773729,120,1,0,0,0,119.27445095,0.0,0.0,2023-05-01
ESTABLECIMIENTOS BANCARIOS,2022-06-30,5,EMPRESARIAL,230299.752943,49,0,0,0,0,0.0,0.0,0.0,2022-06-01
ESTABLECIMIENTOS BANCARIOS,2017-07-31,5,PYMES,1071946.501363,2765,237,16,231,63,33467.188305,21788.057074,31728.076642,2017-07-01
ESTABLECIMIENTOS BANCARIOS,2015-10-31,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,34.375092,4,0,0,0,0,0.0,0.0,0.0,2015-10-01
ESTABLECIMIENTOS BANCARIOS,2022-03-31,10,TARJETA DE CRÉDITO INGRESO HASTA 2 SMMLV,2158.842082,2561,106,28,32,13,55.019225,7.058027,0.0,2022-03-01
ESTABLECIMIENTOS BANCARIOS,2015-06-30,5,OFICIAL O GOBIERNO,104843.726241,19,0,0,0,0,0.0,0.0,0.0,2015-06-01
ESTABLECIMIENTOS BANCARIOS,2021-01-31,5,LEASING FINANCIERO TOTAL,510696.082458,459,129,27,54,33,76556.377057,11406.113043,28392.487972,2021-01-01
ESTABLECIMIENTOS BANCARIOS,2019-05-31,5,MICRO MENOR TOTAL,91.200834,2,2,1,1,1,13.666785,0.0,0.0,2019-05-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2020-09-30,5,MICRO MENOR TOTAL,50968.432944,7371,109,16,45,445,2447.549846,0.0,0.0,2020-09-01
ESTABLECIMIENTOS BANCARIOS,2017-02-28,5,MICRO MENOR TOTAL,6584.171034,1389,22,12,7,90,401.093599,0.0,0.0,2017-02-01
ESTABLECIMIENTOS BANCARIOS,2022-10-31,5,PYMES,181039.181586,2762,66,26,58,68,1309.396053,1412.604869,2315.22028,2022-10-01
ESTABLECIMIENTOS BANCARIOS,2017-12-31,15,CONSTRUCCIÓN DE PROYECTOS DE VIVIENDA,977832.671042,91,15,15,11,2,90354.274717,34857.21962,25668.829316,2017-12-01
ESTABLECIMIENTOS BANCARIOS,2019-11-30,10,LIBRANZA EDUCATIVO,2588.979848,71,2,0,7,2,44.216734,0.0,0.0,2019-11-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2023-04-30,15,CONSTRUCCIÓN DE PROYECTOS DE VIVIENDA,3496.435892,1,0,0,0,0,0.0,0.0,0.0,2023-04-01
COMPAÑIAS DE FINANCIAMIENTO,2015-04-30,10,LEASING FINANCIERO INMUEBLES DIF HABITA,22861.278003,35,2,0,1,0,0.0,0.0,0.0,2015-04-01
ESTABLECIMIENTOS BANCARIOS,2022-01-31,5,MICRO MAYOR TOTAL,220084.966483,7785,175,97,115,709,10338.911526,0.0,0.0,2022-01-01
COMPAÑIAS DE FINANCIAMIENTO,2015-07-31,5,LIBRE INVERSIÓN,1033.842073,0,0,0,0,0,43.453118,3.128957,0.0,2015-07-01
ESTABLECIMIENTOS BANCARIOS,2022-10-31,25,LEASING FINANCIERO OTROS,165923.069191,80,6,1,1,12,3022.323346,666.893447,5210.033016,2022-10-01
ESTABLECIMIENTOS BANCARIOS,2017-03-31,5,CRÉDITO ROTATIVO TOTAL,165896.839051,74012,4528,2806,1881,256,15140.307311,17.858127,0.0,2017-03-01
ESTABLECIMIENTOS BANCARIOS,2018-03-31,5,LIBRE INVERSIÓN,14898.421647,3165,51,49,136,273,491.803624,511.789563,0.0,2018-03-01
ESTABLECIMIENTOS BANCARIOS,2019-09-30,15,LIBRANZA OTROS,1353592.937448,83259,250,197,724,1263,13468.132123,26907.697613,0.0,2019-09-01
ESTABLECIMIENTOS BANCARIOS,2016-09-30,5,EMPRESARIAL,3752.299532,22,3,0,3,0,20.421724,5e-06,0.0,2016-09-01
ESTABLECIMIENTOS BANCARIOS,2022-05-31,5,MICRO MENOR TOTAL,5112247.009989,626018,16015,15581,7400,44313,231801.112422,0.0,0.0,2022-05-01
ESTABLECIMIENTOS BANCARIOS,2017-06-30,5,CONSUMO OTROS TOTAL,26131.661866,856,20,11,12,0,728.39972,0.0,0.0,2017-06-01
ESTABLECIMIENTOS BANCARIOS,2015-09-30,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,53386.09029,1664,0,0,0,0,0.0,0.0,0.0,2015-09-01
ESTABLECIMIENTOS BANCARIOS,2019-07-31,5,TARJETA DE CRÉDITO TOTAL,186179.943838,62778,1571,1639,1113,1210,10916.673292,4067.919497,0.0,2019-07-01
ESTABLECIMIENTOS BANCARIOS,2020-01-31,5,MICROEMPRESA,522765.65993,25681,1343,580,2023,996,34263.080443,15754.315565,18011.030617,2020-01-01
ESTABLECIMIENTOS BANCARIOS,2020-07-31,15,LIBRANZA OTROS,1443952.934378,46756,1616,751,1604,1430,44048.368882,5574.57084,0.0,2020-07-01
ESTABLECIMIENTOS BANCARIOS,2023-03-31,5,MICROEMPRESA,41488.85302646,369,64,4,64,29,1117.4112072,245.01709228,1998.94467079,2023-03-01
ESTABLECIMIENTOS BANCARIOS,2018-01-31,20,OTROS CONSTRUCCIÓN,84919.002528,8,0,0,0,0,0.0,0.0,0.0,2018-01-01
ESTABLECIMIENTOS BANCARIOS,2020-02-29,5,LEASING FINANCIERO TOTAL,4968979.685115,6217,421,236,366,214,150498.963381,54823.054914,65944.039687,2020-02-01
ESTABLECIMIENTOS BANCARIOS,2019-04-30,5,PYMES,275569.49791,346,14,15,4,1,9430.066998,2290.299526,4289.301283,2019-04-01
ESTABLECIMIENTOS BANCARIOS,2021-09-30,5,CONSTRUCCIÓN TOTAL,21084.649246,12,0,0,0,0,0.0,0.0,0.0,2021-09-01
COMPAÑIAS DE FINANCIAMIENTO,2022-11-30,5,EMPRESARIAL,12845.088112,3,1,0,0,2,1663.787592,0.0,135.952796,2022-11-01
ESTABLECIMIENTOS BANCARIOS,2018-03-31,5,MICROEMPRESA,5327.731993,114,4,1,4,1,60.767217,1034.061274,5.24241,2018-03-01
ESTABLECIMIENTOS BANCARIOS,2019-04-30,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,483.779326,40,0,0,0,1,4.109162,0.0,0.0,2019-04-01
ESTABLECIMIENTOS BANCARIOS,2021-10-31,15,LEASING FINANCIERO VEHÍCULOS,474.025661,5,0,0,0,1,0.0,0.0,40.315609,2021-10-01
COMPAÑIAS DE FINANCIAMIENTO,2022-09-30,5,PYMES,95567.69122378,71,10,7,14,4,1794.39617668,663.49521639,2563.9766213400003,2022-09-01
ESTABLECIMIENTOS BANCARIOS,2019-10-31,5,FACTORING,141892.747375,135,3,1,1,1,0.0,67.594285,689.399236,2019-10-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2017-03-31,5,OFICIAL O GOBIERNO,82.142855,1,0,0,0,0,0.0,0.0,0.0,2017-03-01
ESTABLECIMIENTOS BANCARIOS,2022-06-30,5,CORPORATIVO,1952952.437271,164,0,0,1,0,0.0,0.0,0.0,2022-06-01
COMPAÑIAS DE FINANCIAMIENTO,2018-12-31,5,VEHÍCULO,110423.683233,0,0,0,0,0,6406.850986,2902.588508,0.0,2018-12-01
ESTABLECIMIENTOS BANCARIOS,2019-12-31,5,LEASING FINANCIERO TOTAL,43588.422247,51,18,8,9,1,2021.888584,74.840907,0.0,2019-12-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,OFICIAL O GOBIERNO,701067.043654,520,9,7,8,12,5.563447,3.074039,2981.767527,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2016-03-31,5,MICRO MENOR TOTAL,566.720082,134,7,18,8,28,92.717769,0.0,0.0,2016-03-01
ESTABLECIMIENTOS BANCARIOS,2017-03-31,5,MICROEMPRESA,154611.014643,4076,114,63,187,46,2994.186796,1859.903412,2852.747258,2017-03-01
COMPAÑIAS DE FINANCIAMIENTO,2023-02-28,5,PYMES,93666.74748738,65,14,7,12,2,2429.68232593,1601.75544274,2155.28124669,2023-02-01
ESTABLECIMIENTOS BANCARIOS,2017-10-31,5,MICROEMPRESA,2776126.199169,60091,5752,5588,9094,939,45122.427,14685.310645,85400.454904,2017-10-01
COMPAÑIAS DE FINANCIAMIENTO,2017-02-28,15,TARJETA DE CRÉDITO INGRESO SUP 2 SMMLV,344931.882205,0,0,0,0,0,22235.991304,61.393255,0.0,2017-02-01
INSTITUCIONES OFICIALES ESPECIALES,2022-06-30,5,L. HAB. NO VIS PESOS TOTAL,55595.036535,291,5,1,2,1,1660.272521,0.0,403.860452,2022-06-01
ESTABLECIMIENTOS BANCARIOS,2021-05-31,5,TARJETA DE CRÉDITO TOTAL,24647.298434,6471,406,176,126,460,1186.554148,1180.399866,0.0,2021-05-01
ESTABLECIMIENTOS BANCARIOS,2019-03-31,10,LEASING FINANCIERO INMUEBLES DIF HABITA,145069.724358,97,61,3,9,0,7242.057717,0.0,2550.640583,2019-03-01
ESTABLECIMIENTOS BANCARIOS,2018-12-31,5,L. HAB. NO VIS UVR TOTAL,48335.634385,284,6,0,17,1,5135.165929,742.003795,89.650446,2018-12-01
ESTABLECIMIENTOS BANCARIOS,2023-04-30,5,L. HAB. VIS PESOS TOTAL,52353.88197401,557,11,2,1,0,2330.22778378,9.51254045,0.0,2023-04-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2018-10-31,10,TARJETA DE CRÉDITO INGRESO HASTA 2 SMMLV,8524.812003,7028,299,170,192,288,665.119324,289.637166,0.0,2018-10-01
COMPAÑIAS DE FINANCIAMIENTO,2018-10-31,5,LIBRE INVERSIÓN,40126.386092,0,0,0,0,0,2836.995819,2355.511164,0.0,2018-10-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2019-05-31,5,EMPRESARIAL,5672.423346,7,0,0,1,0,0.0,0.0,0.0,2019-05-01
ESTABLECIMIENTOS BANCARIOS,2018-02-28,15,LEASING FINANCIERO VEHÍCULOS,105413.718927,1530,81,18,10,1,4959.051641,0.0,83.884749,2018-02-01
ESTABLECIMIENTOS BANCARIOS,2021-09-30,5,CORPORATIVO,25057245.201666,2007,39,27,47,71,35588.09208,32723.792227,876154.19019,2021-09-01
ESTABLECIMIENTOS BANCARIOS,2022-02-28,15,LEASING FINANCIERO VEHÍCULOS,365.181826,2,0,0,0,0,0.0,0.0,0.0,2022-02-01
ESTABLECIMIENTOS BANCARIOS,2016-12-31,5,PYMES,41460.993407,13,0,0,0,1,0.0,113.766944,0.0,2016-12-01
COMPAÑIAS DE FINANCIAMIENTO,2022-08-31,5,CONSTRUCCIÓN TOTAL,8371.67674,4,1,1,1,3,858.972442,562.815135,1143.668814,2022-08-01
ESTABLECIMIENTOS BANCARIOS,2017-07-31,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,6115.814079,308,1,0,1,1,0.0,18.98712,0.0,2017-07-01
COMPAÑIAS DE FINANCIAMIENTO,2020-02-29,5,VIS PESOS TOTAL,14019.979286,0,0,0,0,0,6.270913,43.944739,14.505611,2020-02-01
ESTABLECIMIENTOS BANCARIOS,2022-12-31,5,EMPRESARIAL,202782.2176875,267,43,7,22,10,5597.26495591,3963.7319214,4759.94979813,2022-12-01
ESTABLECIMIENTOS BANCARIOS,2022-03-31,5,VEHÍCULO,63263.367936,2357,95,264,146,25,5816.375852,436.567112,0.0,2022-03-01
ESTABLECIMIENTOS BANCARIOS,2018-06-30,5,PYMES,64694.531244,141,12,6,16,0,389.493249,25.130758,0.0,2018-06-01
ESTABLECIMIENTOS BANCARIOS,2015-04-30,5,TARJETA DE CRÉDITO TOTAL,2779036.12585,1484448,61729,25386,22917,14268,153036.444633,6559.928241,0.0,2015-04-01
ESTABLECIMIENTOS BANCARIOS,2016-04-30,5,NO VIS UVR TOTAL,90792.344602,1384,139,26,7,246,6277.534597,310.040629,7000.241397,2016-04-01
COMPAÑIAS DE FINANCIAMIENTO,2016-12-31,5,MICRO MENOR TOTAL,51193.509813,0,0,0,0,0,2347.494363,0.0,0.0,2016-12-01
ESTABLECIMIENTOS BANCARIOS,2017-04-30,5,LIBRE INVERSIÓN,1744120.300862,131565,6053,4315,5482,1749,98861.541056,12978.482932,0.0,2017-04-01
ESTABLECIMIENTOS BANCARIOS,2019-03-31,5,MICROEMPRESA,2866986.60104,38576,4011,3988,8038,1619,55995.841909,58551.786923,79696.401106,2019-03-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2015-03-31,5,CORPORATIVO,1612.636364,1,0,0,0,0,0.0,0.0,0.0,2015-03-01
ESTABLECIMIENTOS BANCARIOS,2021-04-30,15,TARJETA DE CRÉDITO INGRESO SUP 2 SMMLV,292822.008376,107232,4547,3443,4960,10055,17142.041545,31914.968258,0.0,2021-04-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,OFICIAL O GOBIERNO,3318405.252368,220,7,5,2,1,549.540441,0.041149,5518.415991,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2018-05-31,5,CONSUMO OTROS TOTAL,97231.951651,14391,1505,1071,1066,2534,26434.453491,223.417692,0.0,2018-05-01
ESTABLECIMIENTOS BANCARIOS,2017-11-30,5,MICRO MENOR TOTAL,217974.713118,42031,1575,844,977,3798,25442.566934,0.0,0.0,2017-11-01
INSTITUCIONES OFICIALES ESPECIALES,2022-12-31,5,CONSTRUCCIÓN TOTAL,3573250.038783,14,0,0,0,0,0.0,0.0,0.0,2022-12-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2020-09-30,5,LIBRANZA TOTAL,160389.54308,15029,226,380,207,446,855.349949,897.865112,0.0,2020-09-01
ESTABLECIMIENTOS BANCARIOS,2016-11-30,5,MICROEMPRESA,156675.7564,2503,193,13,196,71,11659.707695,3128.157154,3185.038644,2016-11-01
ESTABLECIMIENTOS BANCARIOS,2020-12-31,5,LIBRANZA TOTAL,12767.42715,664,18,21,34,97,89.821981,252.164889,0.0,2020-12-01
ESTABLECIMIENTOS BANCARIOS,2016-04-30,5,TARJETA DE CRÉDITO TOTAL,1176572.765002,312575,11557,5865,5641,4034,54834.830297,6854.372139,0.0,2016-04-01
ESTABLECIMIENTOS BANCARIOS,2021-06-30,5,L. HAB. NO VIS PESOS TOTAL,406048.814666,1557,73,56,13,20,37819.434649,12012.054003,11518.700986,2021-06-01
COMPAÑIAS DE FINANCIAMIENTO,2016-12-31,5,CRÉDITO EMPLEADOS VIVIENDA NO VIS,1315.571023,21,0,0,0,0,0.0,0.0,0.0,2016-12-01
ESTABLECIMIENTOS BANCARIOS,2017-01-31,5,LIBRANZA TOTAL,6379730.022851,240502,1405,1089,1968,1180,78517.0423,32845.574087,0.0,2017-01-01
ESTABLECIMIENTOS BANCARIOS,2015-11-30,5,MICRO MAYOR TOTAL,1961.709736,147,9,3,3,1,133.438601,0.0,0.0,2015-11-01
ESTABLECIMIENTOS BANCARIOS,2015-07-31,15,LEASING FINANCIERO VEHÍCULOS,719716.010356,2823,328,91,250,50,33930.409438,11677.033105,10930.145594,2015-07-01
ESTABLECIMIENTOS BANCARIOS,2016-05-31,5,NO VIS PESOS TOTAL,1839342.820094,18687,112,61,27,20,24714.1873,6081.018455,14197.392935,2016-05-01
ESTABLECIMIENTOS BANCARIOS,2018-08-31,5,MICROEMPRESA,131558.307649,2198,208,2,156,110,6772.33164,3932.13038,9600.637268,2018-08-01
ESTABLECIMIENTOS BANCARIOS,2017-10-31,5,VIS PESOS TOTAL,16442.065625,382,13,4,4,6,659.211522,10.569507,113.110446,2017-10-01
ESTABLECIMIENTOS BANCARIOS,2018-12-31,5,L. HAB. NO VIS PESOS TOTAL,90438.041753,479,9,3,1,1,8681.718056,346.938589,507.167867,2018-12-01
ESTABLECIMIENTOS BANCARIOS,2015-11-30,5,CONSTRUCCIÓN TOTAL,1373300.335018,74,2,0,1,0,0.0,0.0,0.0,2015-11-01
COMPAÑIAS DE FINANCIAMIENTO,2023-06-30,5,MICROEMPRESA,19220.49855678,345,7,9,54,10,770.61506777,548.96492936,1411.41517297,2023-06-01
ESTABLECIMIENTOS BANCARIOS,2022-12-31,5,MICRO MENOR TOTAL,758226.15660407,169973,10869,2763,2897,10074,39932.73428469,0.0,0.0,2022-12-01
COMPAÑIAS DE FINANCIAMIENTO,2018-07-31,15,LEASING FINANCIERO VEHÍCULOS,888.684642,6,1,0,1,0,45.398289,0.0,61.989354,2018-07-01
ESTABLECIMIENTOS BANCARIOS,2021-02-28,5,MONEDA EXTRANJERA,314305.337244,119,2,1,3,2,804.61458,9604.6335,549.40497,2021-02-01
ESTABLECIMIENTOS BANCARIOS,2020-11-30,10,TARJETA DE CRÉDITO INGRESO HASTA 2 SMMLV,209331.913421,153027,14078,6322,3879,5246,17497.398201,104.022257,0.0,2020-11-01
COMPAÑIAS DE FINANCIAMIENTO,2015-11-30,5,LIBRE INVERSIÓN,717.365585,1,0,1,0,0,0.0,0.0,0.0,2015-11-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,NO VIS PESOS TOTAL,1186753.312045,15559,211,43,6,41,24960.459648,1221.598438,3896.077295,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2018-07-31,5,TARJETA DE CRÉDITO TOTAL,276735.709064,133392,2863,2179,4511,2792,16259.894193,9474.001828,0.0,2018-07-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2016-08-31,5,CRÉDITO ROTATIVO TOTAL,12463.311682,2406,53,26,27,82,125.664763,437.418552,0.0,2016-08-01
ESTABLECIMIENTOS BANCARIOS,2019-04-30,5,TARJETA DE CRÉDITO TOTAL,194661.841245,64176,1821,1780,1075,1480,12761.407369,3916.886643,0.0,2019-04-01
COMPAÑIAS DE FINANCIAMIENTO,2015-09-30,20,OTROS CONSTRUCCIÓN,10418.675473,19,5,2,4,3,416.566666,233.299998,565.796819,2015-09-01
ESTABLECIMIENTOS BANCARIOS,2021-07-31,5,VIS UVR TOTAL,79725.442288,2965,165,130,130,217,5389.446622,1320.289124,2224.833058,2021-07-01
ESTABLECIMIENTOS BANCARIOS,2019-07-31,5,LIBRANZA TOTAL,7721.010674,1096,21,16,68,19,93.733103,99.687548,0.0,2019-07-01
ESTABLECIMIENTOS BANCARIOS,2016-07-31,5,LIBRANZA TOTAL,1215799.486692,78906,513,396,960,287,5884.1547,6310.887478,0.0,2016-07-01
ESTABLECIMIENTOS BANCARIOS,2018-12-31,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,195949.832217,13761,30,21,1,47,0.0,0.0,0.0,2018-12-01
ESTABLECIMIENTOS BANCARIOS,2016-03-31,10,TARJETA DE CRÉDITO INGRESO HASTA 2 SMMLV,7462.50832,4757,186,99,107,66,472.958222,100.706243,0.0,2016-03-01
ESTABLECIMIENTOS BANCARIOS,2020-04-30,5,EMPRESARIAL,2835851.453644,1808,62,28,67,62,35621.528111,230944.045719,65244.633551,2020-04-01
ESTABLECIMIENTOS BANCARIOS,2018-05-31,5,MICRO MENOR TOTAL,267.729939,40,0,1,4,0,12.776048,0.0,0.0,2018-05-01
ESTABLECIMIENTOS BANCARIOS,2021-01-31,10,LIBRANZA EDUCATIVO,910.29117,120,0,0,1,0,0.0,0.0,0.0,2021-01-01
COMPAÑIAS DE FINANCIAMIENTO,2018-12-31,5,MICRO MAYOR TOTAL,256.053569,0,0,0,0,0,24.291067,0.0,0.0,2018-12-01
ESTABLECIMIENTOS BANCARIOS,2022-08-31,5,PYMES,822468.4497436,7587,240,66,302,549,9705.53632636,6164.62422389,16580.69336177,2022-08-01
COMPAÑIAS DE FINANCIAMIENTO,2015-04-30,5,EMPRESARIAL,23534.566821,34,1,2,3,3,8.804534,315.862441,1274.323566,2015-04-01
ESTABLECIMIENTOS BANCARIOS,2015-04-30,5,NO VIS PESOS TOTAL,1386302.47489,13710,38,33,4,1,7442.571917,2942.30224,5236.335959,2015-04-01
ESTABLECIMIENTOS BANCARIOS,2016-03-31,20,OTROS CONSTRUCCIÓN,354616.534825,53,3,3,1,1,466.666667,0.0,0.0,2016-03-01
ESTABLECIMIENTOS BANCARIOS,2023-04-30,15,CONSTRUCCIÓN DE PROYECTOS DE VIVIENDA,211588.95401937,10,0,0,8,7,0.0,0.0,72959.66847983,2023-04-01
ESTABLECIMIENTOS BANCARIOS,2023-06-30,5,CORPORATIVO,2461874.20765125,317,5,3,3,16,13265.40390894,6069.444442,19740.98388,2023-06-01
ENTIDADES COOPERATIVAS DE CARÁCTER FINANCIERO,2020-01-31,5,MICROEMPRESA,30133.338269,313,37,4,31,4,304.681688,352.187858,709.433873,2020-01-01
ESTABLECIMIENTOS BANCARIOS,2015-10-31,10,TARJETA DE CRÉDITO INGRESO HASTA 2 SMMLV,40812.229987,70113,2484,1560,2284,2034,2915.729679,1055.198183,0.0,2015-10-01
ESTABLECIMIENTOS BANCARIOS,2015-07-31,5,LIBRANZA TOTAL,5951.169645,801,10,2,4,0,27.360644,8.922306,0.0,2015-07-01
ESTABLECIMIENTOS BANCARIOS,2015-07-31,5,NO VIS PESOS TOTAL,17737.622358,963,23,18,11,13,1975.996818,426.897471,458.064902,2015-07-01
ESTABLECIMIENTOS BANCARIOS,2016-05-31,15,TARJETA DE CRÉDITO INGRESO SUP 2 SMMLV,201339.012133,153834,5270,2400,2599,5926,13154.017072,10007.900967,0.0,2016-05-01
ESTABLECIMIENTOS BANCARIOS,2017-05-31,5,VIS UVR TOTAL,98181.611652,8463,1003,373,117,237,15586.30377,2329.504976,3403.636047,2017-05-01
ESTABLECIMIENTOS BANCARIOS,2016-02-29,5,CRÉDITO DE CONSUMO PARA EMPLEADOS,6588.283241,460,0,0,0,0,0.0,0.0,0.0,2016-02-01
ESTABLECIMIENTOS BANCARIOS,2021-11-30,5,MICRO MENOR TOTAL,1339552.624088,333631,10421,7368,8342,31546,64209.284481,0.0,0.0,2021-11-01
ESTABLECIMIENTOS BANCARIOS,2022-09-30,5,MICROEMPRESA,6568.3771988,87,43,25,42,0,169.610123,205.408338,67.776927,2022-09-01
ESTABLECIMIENTOS BANCARIOS,2015-12-31,5,MICRO MAYOR TOTAL,297451.346538,16245,420,96,63,1014,16145.617321,0.0,0.0,2015-12-01
ESTABLECIMIENTOS BANCARIOS,2023-01-31,5,LIBRANZA TOTAL,70193.71278692999,3298,47,42,130,170,1611.4384208600002,505.00710702,0.0,2023-01-01
COMPAÑIAS DE FINANCIAMIENTO,2021-01-31,5,VEHÍCULO,41606.793328,0,0,0,0,0,2894.033485,1521.872179,0.0,2021-01-01
ESTABLECIMIENTOS BANCARIOS,2020-05-31,5,CONSTRUCCIÓN TOTAL,4857297.563239,647,45,18,43,43,49845.764478,20610.582122,234982.553832,2020-05-01
